bank_transaction_id,utr,amount,transaction_date,description,credit_debit,status
"btxn_152ee697","UTR432409954046","1571.03","2026-07-16T00:00:00.000Z","Razorpay Settlement setl_55763bb","CREDIT","CLEARED"
"btxn_cf072a8","UTR585535567501","9070.76","2026-07-28T00:00:00.000Z","Razorpay Settlement setl_5857ad04","CREDIT","CLEARED"
"btxn_5c264637","UTR392008753813","3854.83","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_3c739507","CREDIT","CLEARED"
"btxn_3458fd7a","UTR002452597664","6339.77","2026-07-17T00:00:00.000Z","Razorpay Settlement setl_58c9827c","CREDIT","CLEARED"
"btxn_254a74ad","UTR659958389384","7673.53","2026-08-02T00:00:00.000Z","Razorpay Settlement setl_6f5d65de","CREDIT","CLEARED"
"btxn_482cba3f","UTR936492867602","1961.59","2026-07-20T00:00:00.000Z","Razorpay Settlement setl_76b7f31f","CREDIT","CLEARED"
"btxn_6f6b70b","UTR770804507780","9514.04","2026-07-17T00:00:00.000Z","Razorpay Settlement setl_e2f6323","CREDIT","CLEARED"
"btxn_29f5471a","UTR615186678010","8914.53","2026-07-18T00:00:00.000Z","Razorpay Settlement setl_2340cf77","CREDIT","CLEARED"
"btxn_12a1fe65","UTR416382777795","9321.69","2026-07-28T00:00:00.000Z","Razorpay Settlement setl_6b8706c7","CREDIT","CLEARED"
"btxn_2a8355f4","UTR491918642412","9289.47","2026-07-07T00:00:00.000Z","Razorpay Settlement setl_287e1789","CREDIT","CLEARED"
"btxn_3974ff74","UTR842987957190","9623.4","2026-07-16T00:00:00.000Z","Razorpay Settlement setl_3a7fab54","CREDIT","CLEARED"
"btxn_474a1361","UTR105757753773","4472.89","2026-07-12T00:00:00.000Z","Razorpay Settlement setl_56ec5fee","CREDIT","CLEARED"
"btxn_1938a8a4","UTR602882835839","1044.75","2026-07-05T00:00:00.000Z","Razorpay Settlement setl_6d30d140","CREDIT","CLEARED"
"btxn_86859be","UTR066581246394","1265.41","2026-08-03T00:00:00.000Z","Razorpay Settlement setl_67c17ded","CREDIT","CLEARED"
"btxn_4a0f80eb","UTR875503354881","9614.61","2026-07-19T00:00:00.000Z","Razorpay Settlement setl_7814b0e2","CREDIT","CLEARED"
"btxn_1bece5b4","UTR690071070507","5637.73","2026-08-02T00:00:00.000Z","Razorpay Settlement setl_20563fa6","CREDIT","CLEARED"
