order_id,expected_classification
"ORD-1000","MISSING_SETTLEMENT"
"ORD-1001","DATE_MISMATCH"
"ORD-1002","EXACT_MATCH"
"ORD-1003","EXACT_MATCH"
"ORD-1004","EXACT_MATCH"
"ORD-1005","EXACT_MATCH"
"ORD-1006","EXACT_MATCH"
"ORD-1007","EXACT_MATCH"
"ORD-1008","EXACT_MATCH"
"ORD-1009","MISSING_BANK_TRANSACTION"
"ORD-1010","MISSING_SETTLEMENT"
"ORD-1011","MISSING_SETTLEMENT"
"ORD-1012","EXACT_MATCH"
"ORD-1013","EXACT_MATCH"
"ORD-1014","DATE_MISMATCH"
"ORD-1015","EXACT_MATCH"
"ORD-1016","EXACT_MATCH"
"ORD-1017","EXACT_MATCH"
"ORD-1018","EXACT_MATCH"
"ORD-1019","EXACT_MATCH"
"ORD-1020","EXACT_MATCH"
"ORD-1021","EXACT_MATCH"
"ORD-1022","EXACT_MATCH"
"ORD-1023","EXACT_MATCH"
"ORD-1024","EXACT_MATCH"
"ORD-1025","MISSING_SETTLEMENT"
"ORD-1026","DATE_MISMATCH"
"ORD-1027","EXACT_MATCH"
"ORD-1028","EXACT_MATCH"
"ORD-1029","EXACT_MATCH"
"ORD-1030","DATE_MISMATCH"
"ORD-1031","DATE_MISMATCH"
"ORD-1032","MISSING_BANK_TRANSACTION"
"ORD-1033","AMOUNT_MISMATCH"
"ORD-1034","EXACT_MATCH"
"ORD-1035","DATE_MISMATCH"
"ORD-1036","EXACT_MATCH"
"ORD-1037","EXACT_MATCH"
"ORD-1038","EXACT_MATCH"
"ORD-1039","AMOUNT_MISMATCH"
"ORD-1040","EXACT_MATCH"
"ORD-1041","AMOUNT_MISMATCH"
"ORD-1042","EXACT_MATCH"
"ORD-1043","EXACT_MATCH"
"ORD-1044","EXACT_MATCH"
"ORD-1045","MISSING_BANK_TRANSACTION"
"ORD-1046","EXACT_MATCH"
"ORD-1047","EXACT_MATCH"
"ORD-1048","MISSING_SETTLEMENT"
"ORD-1049","DATE_MISMATCH"
"ORD-1050","MISSING_BANK_TRANSACTION"
"ORD-1051","AMOUNT_MISMATCH"
"ORD-1052","EXACT_MATCH"
"ORD-1053","AMOUNT_MISMATCH"
"ORD-1054","MISSING_BANK_TRANSACTION"
"ORD-1055","MISSING_BANK_TRANSACTION"
"ORD-1056","EXACT_MATCH"
"ORD-1057","EXACT_MATCH"
"ORD-1058","EXACT_MATCH"
"ORD-1059","EXACT_MATCH"
"ORD-1060","MISSING_BANK_TRANSACTION"
"ORD-1061","EXACT_MATCH"
"ORD-1062","EXACT_MATCH"
"ORD-1063","EXACT_MATCH"
"ORD-1064","EXACT_MATCH"
"ORD-1065","EXACT_MATCH"
"ORD-1066","EXACT_MATCH"
"ORD-1067","EXACT_MATCH"
"ORD-1068","DATE_MISMATCH"
"ORD-1069","EXACT_MATCH"
"ORD-1070","DATE_MISMATCH"
"ORD-1071","DATE_MISMATCH"
"ORD-1072","MISSING_SETTLEMENT"
"ORD-1073","AMOUNT_MISMATCH"
"ORD-1074","EXACT_MATCH"
"ORD-1075","EXACT_MATCH"
"ORD-1076","EXACT_MATCH"
"ORD-1077","EXACT_MATCH"
"ORD-1078","EXACT_MATCH"
"ORD-1079","DATE_MISMATCH"
"ORD-1080","EXACT_MATCH"
"ORD-1081","EXACT_MATCH"
"ORD-1082","DATE_MISMATCH"
"ORD-1083","EXACT_MATCH"
"ORD-1084","DATE_MISMATCH"
"ORD-1085","MISSING_BANK_TRANSACTION"
"ORD-1086","EXACT_MATCH"
"ORD-1087","DATE_MISMATCH"
"ORD-1088","MISSING_SETTLEMENT"
"ORD-1089","EXACT_MATCH"
"ORD-1090","EXACT_MATCH"
"ORD-1091","MISSING_BANK_TRANSACTION"
"ORD-1092","EXACT_MATCH"
"ORD-1093","EXACT_MATCH"
"ORD-1094","EXACT_MATCH"
"ORD-1095","EXACT_MATCH"
"ORD-1096","EXACT_MATCH"
"ORD-1097","EXACT_MATCH"
"ORD-1098","EXACT_MATCH"
"ORD-1099","EXACT_MATCH"
