transaction_id,order_id,payment_id,amount,currency,transaction_date,customer_reference,status
"txn_51f16dc","ORD-1000","pay_4cf4962b","1609","INR","2026-07-15T00:00:00.000Z","CUST-0","CAPTURED"
"txn_e76efd2","ORD-1001","pay_c91c308","9290","INR","2026-07-22T00:00:00.000Z","CUST-1","CAPTURED"
"txn_66d4a2fc","ORD-1002","pay_46e83711","3948","INR","2026-07-08T00:00:00.000Z","CUST-2","CAPTURED"
"txn_144e719a","ORD-1003","pay_3edb8002","6493","INR","2026-07-16T00:00:00.000Z","CUST-3","CAPTURED"
"txn_2c8d326d","ORD-1004","pay_75997027","7859","INR","2026-08-01T00:00:00.000Z","CUST-4","CAPTURED"
"txn_3768ba10","ORD-1005","pay_30979808","2009","INR","2026-07-19T00:00:00.000Z","CUST-5","CAPTURED"
"txn_3e9e8a4c","ORD-1006","pay_412e421c","9744","INR","2026-07-16T00:00:00.000Z","CUST-6","CAPTURED"
"txn_38f3f0df","ORD-1007","pay_2f3f4ea2","9130","INR","2026-07-17T00:00:00.000Z","CUST-7","CAPTURED"
"txn_314b2aa5","ORD-1008","pay_78e0682","9547","INR","2026-07-27T00:00:00.000Z","CUST-8","CAPTURED"
"txn_192f22d7","ORD-1009","pay_f6c0c49","8741","INR","2026-07-22T00:00:00.000Z","CUST-9","CAPTURED"
"txn_5bd75066","ORD-1010","pay_462de338","9514","INR","2026-07-06T00:00:00.000Z","CUST-10","CAPTURED"
"txn_3f67213b","ORD-1011","pay_25dd97e2","9856","INR","2026-07-15T00:00:00.000Z","CUST-11","CAPTURED"
"txn_6b71c7c9","ORD-1012","pay_7710f20","4581","INR","2026-07-11T00:00:00.000Z","CUST-12","CAPTURED"
"txn_2b2e8bb3","ORD-1013","pay_7e0b2025","1070","INR","2026-07-04T00:00:00.000Z","CUST-13","CAPTURED"
"txn_2e37ead","ORD-1014","pay_783617d","1296","INR","2026-07-28T00:00:00.000Z","CUST-14","CAPTURED"
"txn_12ebd6c","ORD-1015","pay_4c81b4d2","9847","INR","2026-07-18T00:00:00.000Z","CUST-15","CAPTURED"
"txn_8097aaf","ORD-1016","pay_6408ecb9","5774","INR","2026-08-01T00:00:00.000Z","CUST-16","CAPTURED"
"txn_13ad7b64","ORD-1017","pay_7993b9cd","2039","INR","2026-07-12T00:00:00.000Z","CUST-17","CAPTURED"
"txn_4338ca6","ORD-1018","pay_7ac4b7a4","7003","INR","2026-07-30T00:00:00.000Z","CUST-18","CAPTURED"
"txn_18710232","ORD-1019","pay_740b2873","5514","INR","2026-07-10T00:00:00.000Z","CUST-19","CAPTURED"
"txn_6f4eafdb","ORD-1020","pay_eb256bd","6845","INR","2026-07-03T00:00:00.000Z","CUST-20","CAPTURED"
