payment_id,order_id,settlement_id,utr,gross_amount,fee,tax,adjustment,settlement_amount,settlement_date,status
"pay_c91c308","ORD-1001","setl_5857ad04","UTR585535567501","9290","185.8","33.44","0","9070.76","2026-07-23T00:00:00.000Z","PROCESSED"
"pay_46e83711","ORD-1002","setl_3c739507","UTR392008753813","3948","78.96","14.21","0","3854.83","2026-07-09T00:00:00.000Z","PROCESSED"
"pay_3edb8002","ORD-1003","setl_58c9827c","UTR002452597664","6493","129.86","23.37","0","6339.77","2026-07-17T00:00:00.000Z","PROCESSED"
"pay_75997027","ORD-1004","setl_6f5d65de","UTR659958389384","7859","157.18","28.29","0","7673.53","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_30979808","ORD-1005","setl_76b7f31f","UTR936492867602","2009","40.18","7.23","0","1961.59","2026-07-20T00:00:00.000Z","PROCESSED"
"pay_412e421c","ORD-1006","setl_e2f6323","UTR770804507780","9744","194.88","35.08","0","9514.04","2026-07-17T00:00:00.000Z","PROCESSED"
"pay_2f3f4ea2","ORD-1007","setl_2340cf77","UTR615186678010","9130","182.6","32.87","0","8914.53","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_78e0682","ORD-1008","setl_6b8706c7","UTR416382777795","9547","190.94","34.37","0","9321.69","2026-07-28T00:00:00.000Z","PROCESSED"
"pay_f6c0c49","ORD-1009","setl_1facd885","UTR209899976306","8741","174.82","31.47","0","8534.71","2026-07-23T00:00:00.000Z","PROCESSED"
"pay_7710f20","ORD-1012","setl_56ec5fee","UTR105757753773","4581","91.62","16.49","0","4472.89","2026-07-12T00:00:00.000Z","PROCESSED"
"pay_7e0b2025","ORD-1013","setl_6d30d140","UTR602882835839","1070","21.4","3.85","0","1044.75","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_783617d","ORD-1014","setl_67c17ded","UTR066581246394","1296","25.92","4.67","0","1265.41","2026-07-29T00:00:00.000Z","PROCESSED"
"pay_4c81b4d2","ORD-1015","setl_7814b0e2","UTR875503354881","9847","196.94","35.45","0","9614.61","2026-07-19T00:00:00.000Z","PROCESSED"
